Survived,Sex,Type,Big_Family,Baby,Elder,Pclass_1,Pclass_2,Pclass_3,Title_Master,Title_Military,Title_Miss,Title_Mr,Title_Mrs,Title_Other,Title_Royal,Family_Survival_0.0,Family_Survival_0.5,Family_Survival_1.0,Age,Fare
0.0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,-0.604724177467659,-0.5538314343203653
1.0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0.38022192787265346,1.5420275350657409
1.0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,-0.35848765113258096,-0.5040032346794279
1.0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0.19554453312134484,0.8708859776353277
0.0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0.19554453312134484,-0.49477579030147645
0.0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1.3036089016291965,-0.4646352659853361
0.0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1.365168033212966,0.8252101279644681
0.0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,-1.8359068091430497,-0.7778737838170248
1.0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,-0.29692851954881144,-0.8150714575934224
1.0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,-1.0971972301378154,0.02088332936045597
1.0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,-1.7127885459755108,-0.6780943519434439
1.0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1.6114045595480442,0.8708859776353277
0.0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,-0.7278424406351982,-0.49477579030147645
0.0,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0.441781059456423,-0.7592079820467688
0.0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,-1.0971972301378154,-0.5092296591750995
1.0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1.4267271647967354,0.09208967213623123
0.0,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,-1.8359068091430497,-0.7306907848977667
1.0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1.3036089016291965,-0.12936899293460186
0.0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,-0.050691993213733286,-0.424647213029046
1.0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,-0.8355709209067949,-0.5556769231959556
0.0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0.19554453312134484,-0.12936899293460186
1.0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0.13398540153757532,-0.12936899293460186
1.0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,-1.0356380985540459,-0.49631123704596763
1.0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,-0.2353693879650419,1.5315709950966465
0.0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,-1.4665520196404325,-0.7778737838170248
1.0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0.38022192787265346,-0.7580215963410322
0.0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1.3036089016291965,-0.5556769231959556
0.0,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,-0.7894015722189677,2.1467339536267387
1.0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,-1.7127885459755108,-0.5073841702995092
0.0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1.3036089016291965,-0.5061587656861173
0.0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0.5033401910401926,0.9573139126569714
1.0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,-0.8355709209067949,2.516343544326291
1.0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,-1.7127885459755108,-0.5169216568085598
0.0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,2.1038776122182004,-0.31391788049362945
0.0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,-0.2353693879650419,1.9438827377255234
0.0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0.6264584542077316,0.8302852223723416
1.0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1.3036089016291965,-0.5553668810648564
