PassengerId,Survived,Pclass,Sex,Fare,Type,Title,Child,Family_Survival
1,0.0,3,male,7.25,train,Mr,0,0.5
2,1.0,1,female,71.2833,train,Mrs,0,0.5
3,1.0,3,female,7.925,train,Miss,0,0.5
4,1.0,1,female,53.1,train,Mrs,0,0.0
5,0.0,3,male,8.05,train,Mr,0,0.5
6,0.0,3,male,8.4583,train,Mr,0,0.5
7,0.0,1,male,51.8625,train,Mr,0,0.5
8,0.0,3,male,21.075,train,Master,1,0.0
9,1.0,3,female,11.1333,train,Mrs,0,1.0
10,1.0,2,female,30.0708,train,Mrs,1,0.0
11,1.0,3,female,16.7,train,Miss,1,1.0
12,1.0,1,female,26.55,train,Miss,0,0.5
13,0.0,3,male,8.05,train,Mr,0,0.5
14,0.0,3,male,31.275,train,Mr,0,0.0
15,0.0,3,female,7.8542,train,Miss,1,0.5
16,1.0,2,female,16.0,train,Mrs,0,0.5
17,0.0,3,male,29.125,train,Master,1,0.0
18,1.0,2,male,13.0,train,Mr,0,0.5
19,0.0,3,female,18.0,train,Mrs,0,0.5
20,1.0,3,female,7.225,train,Mrs,0,0.5
21,0.0,2,male,26.0,train,Mr,0,0.0
22,1.0,2,male,13.0,train,Mr,0,0.5
23,1.0,3,female,8.0292,train,Miss,1,0.5
24,1.0,1,male,35.5,train,Mr,0,0.5
25,0.0,3,female,21.075,train,Miss,1,0.0
26,1.0,3,female,31.3875,train,Mrs,0,1.0
27,0.0,3,male,7.225,train,Mr,0,0.5
28,0.0,1,male,263.0,train,Mr,0,1.0
29,1.0,3,female,7.8792,train,Miss,1,0.5
30,0.0,3,male,7.8958,train,Mr,0,0.5
31,0.0,1,male,27.7208,train,Royal,0,0.5
32,1.0,1,female,146.5208,train,Mrs,0,1.0
33,1.0,3,female,7.75,train,Miss,1,0.5
34,0.0,2,male,10.5,train,Mr,0,0.5
35,0.0,1,male,82.1708,train,Mr,0,1.0
36,0.0,1,male,52.0,train,Mr,0,1.0
37,1.0,3,male,7.2292,train,Mr,0,0.5
38,0.0,3,male,8.05,train,Mr,0,0.5
39,0.0,3,female,18.0,train,Miss,0,0.0
40,1.0,3,female,11.2417,train,Miss,1,1.0
41,0.0,3,female,9.475,train,Mrs,0,0.5
42,0.0,2,female,21.0,train,Mrs,0,0.0
43,0.0,3,male,7.8958,train,Mr,0,0.5
44,1.0,2,female,41.5792,train,Miss,1,1.0
45,1.0,3,female,7.8792,train,Miss,0,0.5
46,0.0,3,male,8.05,train,Mr,0,0.5
47,0.0,3,male,15.5,train,Mr,0,0.5
48,1.0,3,female,7.75,train,Miss,1,0.5
49,0.0,3,male,21.6792,train,Mr,0,0.5
50,0.0,3,female,17.8,train,Mrs,0,0.0
